MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
779,3.2,2.3515625,2256,12.12109375,583,780,0,2837,-1.6484375,-3.43113992857731,-1.375,-1.0703125,2135,1558,1574,1370
780,2.9,2.359375,2249,12.12109375,575,780,0,2818,-1.09375,-3.51254530537027,-1.046875,-0.9453125,2155,1575,1604,1386
780,2.7,2.3203125,2278,12.12109375,560,780,0,2914,-1.328125,-3.59946282465779,-0.5078125,-1.40625,2169,1572,1633,1385
780,2.3,2.359375,2193,13.140625,505,780,0,2859,-2.03125,-3.67039568587045,0.9453125,-1.453125,2202,1557,1659,1388
701,2,2.2890625,2231,13.140625,458,780,0,2897,-2.09375,-3.70271912176066,1.8984375,-1.609375,2246,1505,1652,1378
701,1.7,2.2109375,2145,13.140625,458,780,0,2906,-2.5859375,-3.70036270735129,1.8671875,-1.5,2245,1480,1658,1372
701,1.2,2.0390625,2076,13.140625,0,761,0,2943,-2.375,-3.68186705125922,1.6953125,-1.34375,2202,1479,1666,1370
811,0.800000000000001,1.890625,1922,13.140625,0,642,0,2971,-2.21875,-3.66404342778952,0.4609375,-1.1796875,2149,1462,1645,1350
890,0.300000000000001,1.8984375,1764,14.19140625,0,550,0,2854,-2.3203125,-3.67564834036634,-0.765625,-1.078125,2145,1444,1641,1341
890,0,1.8359375,1783,14.19140625,0,541,0,2644,-2.8984375,-3.71855395865155,1.578125,-1.265625,2172,1442,1669,1367
870,-0.299999999999999,1.75,1909,14.19140625,0,590,0,2676,-2.7890625,-3.72442155693243,3.2578125,-1.1953125,2178,1424,1680,1355
870,-0.5,1.734375,2061,14.19140625,0,590,0,2676,-2.7578125,-3.67843146815702,3.015625,-1.1640625,2180,1412,1679,1356
833,-0.699999999999999,1.5,2109,14.19140625,0,620,0,2640,-2.0859375,-3.61129929888837,4.2109375,-1.109375,2213,1430,1723,1386
833,-0.9,1.328125,2188,15.16015625,398,700,0,2502,-1.4609375,-3.5121638275903,4.578125,-0.7890625,2196,1418,1738,1398
833,-1.2,1.1953125,2180,15.16015625,480,760,0,2421,-0.8203125,-3.40087844635911,1.7109375,-0.84375,2170,1427,1748,1427
833,-1.6,0.984375,2180,15.16015625,548,840,0,2177,0.1171875,-3.34195459678494,0.5859375,-0.453125,2114,1417,1710,1415
807,-1.9,0.90625,2067,15.16015625,585,860,0,2421,0.359375,-3.32203379229624,2.2734375,-0.53125,2074,1432,1678,1394
790,-2.1,1,1797,15.16015625,600,860,0,2307,0.2578125,-3.28707091046516,2.7578125,-0.4921875,2065,1456,1651,1386
790,-2,1.125,1857,16.07421875,638,860,0,2231,-0.21875,-3.24017540703591,1.625,-0.375,2043,1444,1605,1356
790,-1.7,1.3515625,1972,16.07421875,645,860,0,2377,-0.53125,-3.20115494828441,2.9609375,-0.359375,2066,1455,1575,1363
792,-1.3,1.4609375,2266,16.07421875,600,860,0,2603,-0.84375,-3.14024199259854,3.6171875,-0.125,2109,1483,1561,1356
817,-0.399999999999999,1.53125,2626,16.07421875,563,840,0,2956,-1.7578125,-3.05630605962149,3.0859375,-0.0078125,2161,1551,1564,1364
821,-0.399999999999999,1.59375,2754,16.07421875,540,800,0,3056,-2.4375,-2.97629543272409,2.6875,0.109375,2194,1601,1604,1386
821,-0.0999999999999996,1.5625,2786,17.09375,540,770,1,2977,-2.53125,-2.90495452525941,2.2890625,0.25,2143,1585,1626,1376
821,0,1.5390625,2717,17.09375,615,720,1,2938,-2.7734375,-2.84536449073375,1.4609375,0.4921875,2100,1566,1623,1367
821,0,1.4765625,2682,17.09375,645,690,1,2933,-3.5390625,-2.8140815102483,0.078125,0.5,2086,1605,1642,1399
821,-0.0999999999999996,1.4296875,2577,17.09375,623,670,1,2963,-3.828125,-2.81524964206645,1.6171875,0.234375,2031,1603,1637,1412
821,-0.0999999999999996,1.515625,2407,17.09375,600,630,1,2953,-3.875,-2.80374466159354,2.609375,0.234375,1966,1575,1662,1422
823,0,1.609375,2102,17.99609375,600,590,1,2972,-3.4453125,-2.76474091299809,3.25,0.171875,1899,1536,1697,1423
815,0.200000000000001,1.7421875,2127,17.99609375,600,520,1,2969,-3.4296875,-2.70916761429214,1.8359375,0.0859375,1842,1489,1702,1420
815,0.5,1.8984375,2149,17.99609375,593,580,1,2938,-3.6796875,-2.66990962512656,1.109375,-0.265625,1827,1486,1693,1429
770,0.800000000000001,2.0390625,2216,17.99609375,578,550,1,2946,-3.6328125,-2.64950557815496,1.0859375,-0.203125,1810,1465,1682,1436
770,1.2,2.21875,2237,17.99609375,533,460,1,2969,-3.4453125,-2.63494153754665,1.8984375,-0.3671875,1803,1428,1682,1433
