MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
-128,-0.299999999999999,0.7265625,2232,0.0234375,368,350,0,2745,-1.0234375,-1.65731110991747,1.0390625,-1.0390625,1843,1503,1819,1589
-128,-0.199999999999999,0.6953125,2273,0.0234375,368,350,0,2767,-1.3828125,-1.65701324390344,1.078125,-0.9765625,1834,1494,1803,1570
-130,-0.199999999999999,0.6953125,2273,0.0234375,360,350,0,2807,-0.9609375,-1.6563062770466,1.40625,-1.015625,1837,1504,1808,1578
-135,-0.199999999999999,0.734375,2125,0.14453125,380,0,0,2799,-0.4765625,-1.65125854912516,1.21875,-0.8984375,1818,1481,1791,1561
-130,-0.199999999999999,0.6953125,2084,0.14453125,380,0,0,2814,-0.4609375,-1.64777957398729,1.140625,-0.953125,1814,1483,1793,1557
-134,-0.0999999999999996,0.7421875,2149,0.14453125,380,0,0,2774,-0.796875,-1.64661215413019,0.9921875,-0.8359375,1809,1475,1781,1552
-135,-0.0999999999999996,0.8125,2174,0.14453125,380,0,0,2820,-1.0859375,-1.64813480903485,1.0703125,-0.875,1828,1480,1797,1569
-134,-0.0999999999999996,0.796875,2177,0.14453125,0,0,0,2805,-1.109375,-1.64953890840568,1.15625,-0.84375,1810,1477,1789,1557
-49,-0.0999999999999996,0.7734375,2186,0.265625,0,0,0,2805,-0.8515625,-1.64988209391421,1.140625,-0.8984375,1809,1465,1778,1550
-49,-0.0999999999999996,0.78125,2134,0.265625,0,0,0,2874,-0.4921875,-1.64959419590164,1.2109375,-0.859375,1825,1490,1806,1574
-49,-0.0999999999999996,0.6953125,2114,0.265625,0,0,0,2763,-0.46875,-1.64841328459444,1.109375,-0.8828125,1823,1483,1795,1562
-49,-0.0999999999999996,0.6875,2070,0.265625,360,370,0,2739,-0.6953125,-1.64793920246363,1.078125,-0.8828125,1815,1472,1786,1549
-72,-0.0999999999999996,0.6875,2052,0.265625,360,390,0,2672,-1.0703125,-1.64797778209473,1.234375,-0.9296875,1820,1484,1797,1560
-123,-0.0999999999999996,0.734375,2033,0.3359375,0,0,0,2654,-0.9375,-1.646207012046,1.2421875,-0.8671875,1804,1468,1778,1542
-123,-0.0999999999999996,0.7734375,2041,0.3359375,0,0,0,2583,-0.765625,-1.64325245658717,1.203125,-1,1816,1486,1795,1555
-127,0,0.8359375,2064,0.3359375,0,0,0,2481,-0.5078125,-1.64068372574935,1.109375,-0.9140625,1820,1483,1792,1561
-127,0.100000000000001,0.8203125,2090,0.3359375,0,0,0,2440,-0.4609375,-1.63928972789506,1.1953125,-1.03125,1815,1480,1794,1555
-125,0.200000000000001,0.7890625,2106,0.3359375,0,0,0,2353,-0.71875,-1.63775321903019,1.1640625,-0.921875,1827,1494,1799,1561
-125,0.100000000000001,0.78125,2101,0.37109375,388,0,0,2317,-0.9296875,-1.63599154078039,1.2421875,-1.0703125,1830,1490,1804,1568
-83,0,0.734375,2096,0.37109375,388,0,0,2269,-0.75,-1.6330371936974,1.15625,-0.9453125,1829,1487,1797,1570
-83,0,0.71875,2093,0.37109375,360,0,0,2169,-0.6015625,-1.62999789391345,1.2421875,-1.0234375,1834,1497,1805,1578
-125,0,0.6953125,2087,0.37109375,360,0,0,2153,-0.6640625,-1.62647409047195,1.15625,-0.953125,1838,1512,1816,1587
-15,-0.0999999999999996,0.7109375,2099,0.37109375,360,0,0,2019,-0.890625,-1.62429641441044,1.1171875,-0.9765625,1840,1501,1813,1577
-7,0,0.7421875,2092,0.3984375,360,0,0,2079,-1.0625,-1.62372621563939,1.1875,-0.9609375,1848,1501,1816,1582
